127.0.0.1 - - [14/Oct/2020:07:23:47 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:51 +0700] "GET /javaweb_10_2020/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:54 +0700] "GET /javaweb_10_2020/trang-chu HTTP/1.1" 200 8760
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:55 +0700] "GET /javaweb_10_2020/template/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:55 +0700] "GET /javaweb_10_2020/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:55 +0700] "GET /javaweb_10_2020/template/web/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:55 +0700] "GET /javaweb_10_2020/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:23:56 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/admin-home HTTP/1.1" 200 7329
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2020:07:24:14 +0700] "GET /javaweb_10_2020/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
